cytokine,cell
IFNG,T cell
IL2,T cell
TNF,macrophage
IFNG,"CD8-positive, alpha-beta T cell"
IFNG,natural killer cell
IFNG,"CD4-positive, alpha-beta T cell"
IFNG,macrophage
TNF,monocyte
IL2,lymphocyte
CXCL8,neutrophil
IL4,T cell
IL10,T cell
IFNG,lymphocyte
IFNA,leukocyte
IL1B,macrophage
IL10,macrophage
IL2,"CD4-positive, alpha-beta T cell"
IL1,monocyte
CSF3,neutrophil
TNF,T cell
IL4,B cell
IL6,macrophage
IL5,eosinophil
IL17,T cell
IL10,B cell
IL1,macrophage
IFNG,T-helper 1 cell
IL1B,monocyte
IL6,monocyte
TGFB1,fibroblast
IL2,natural killer cell
CCL2,monocyte
CD40LG,platelet
IL10,monocyte
CCL2,macrophage
TGFB,fibroblast
IFNG,monocyte
CSF1,macrophage
CD40LG,T cell
TNF,neutrophil
IL2,B cell
PF4,platelet
IL4,"CD4-positive, alpha-beta T cell"
TNF,endothelial cell
IL6,fibroblast
IL12,T cell
IL10,"CD4-positive, alpha-beta T cell"
IL12,macrophage
IL4,T-helper 2 cell
PPBP,platelet
IL10,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL2,"CD8-positive, alpha-beta T cell"
IFNA,plasmacytoid dendritic cell
IL2,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL17,T-helper 17 cell
TNF,microglial cell
IL17,"CD4-positive, alpha-beta T cell"
TGFB,T cell
CXCL8,monocyte
IL6,T cell
IL5,T cell
TNF,leukocyte
TNF,mast cell
FGF2,endothelial cell
IL6,B cell
CCL11,eosinophil
FGF2,fibroblast
IL12,dendritic cell
CSF2,neutrophil
IL1,thymocyte
IL7,T cell
IL12,monocyte
IL6,endothelial cell
IL2,thymocyte
CSF2,macrophage
IFNB1,fibroblast
IL12,natural killer cell
TGFB1,platelet
IL4,basophil
IL4,macrophage
IL15,T cell
IL1,T cell
TNF,lymphocyte
CSF2,T cell
IFNG,leukocyte
IFNG,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB,epithelial cell
EPO,erythroid progenitor cell
TNF,fat cell
TGFB,macrophage
CCL2,endothelial cell
TGFB,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IFNG,B cell
TNFSF9,T cell
CXCL8,epithelial cell
CSF2,monocyte
RETN,fat cell
IL6,osteoblast
CXCL8,endothelial cell
SPP1,osteoblast
TNF,"CD4-positive, alpha-beta T cell"
CD40LG,B cell
IFNA,T cell
CSF3,granulocyte
TGFB1,T cell
IL2,mature natural killer cell
TNF,alveolar macrophage
TNF,neuron
IFN1,plasmacytoid dendritic cell
TNF,keratinocyte
IL2,monocyte
IL1B,neutrophil
IL4,lymphocyte
IFNG,neutrophil
CD40LG,"CD4-positive, alpha-beta T cell"
TNF,astrocyte
CSF2,eosinophil
TGFB1,epithelial cell
IL4,mast cell
IFNG,dendritic cell
IL1B,microglial cell
IFNG,fibroblast
IFNB1,macrophage
IL10,lymphocyte
TGFB1,macrophage
IL12,"CD4-positive, alpha-beta T cell"
IL6,lymphocyte
CSF2,granulocyte
IL6,hepatocyte
IL6,leukocyte
CXCL8,keratinocyte
IL17A,T cell
CXCL8,macrophage
TNF,dendritic cell
TNF,B cell
IL6,keratinocyte
TGFB,hepatocyte
TNF,Kupffer cell
CSF1,monocyte
IL1,B cell
THPO,platelet
CXCL8,T cell
TNF,peritoneal macrophage
TGFB,platelet
IL1A,keratinocyte
IL2,helper T cell
EPO,reticulocyte
IL10,"CD8-positive, alpha-beta T cell"
IL21,"CD4-positive, alpha-beta T cell"
IL10,dendritic cell
IFNG,keratinocyte
TGFB,chondrocyte
IL1A,macrophage
IL17A,T-helper 17 cell
IL1,keratinocyte
IL10,leukocyte
IL18,macrophage
TNF,natural killer cell
IL1,endothelial cell
IFNG,cytotoxic T cell
TGFB,B cell
IL6,astrocyte
IL6,fat cell
IL17,helper T cell
IL1B,astrocyte
CXCL8,eosinophil
TGFB,keratinocyte
CSF2,bone marrow cell
